Number,Title,Year,Runtime,Genre,Rating,Budget,Votes,Metascore
61,Zack Snyder's Justice League,-2021,242 min,Action -  Adventure -  Fantasy,8,"$300,000,000 ",410899,54
62,Aquaman,-2018,143 min,Action -  Adventure -  Fantasy,6.8,"$160,000,000 ",489235,55
63,Teenage Mutant Ninja Turtles: Mutant Mayhem,-2023,,Animation -  Action -  Adventure,,,,
64,Jumanji: Welcome to the Jungle,-2017,119 min,Action -  Adventure -  Comedy,6.9,"$90,000,000 ",395091,58
65,Three Thousand Years of Longing,-2022,108 min,Drama -  Fantasy -  Romance,6.7,"$60,000,000 ",44800,60
66,Snow White,-2024,,Adventure -  Drama -  Family,,,,
67,Exodus: Gods and Kings,-2014,150 min,Action -  Adventure -  Drama,6,"$140,000,000 ",172495,52
68,Suicide Squad,-2016,123 min,Action -  Adventure -  Fantasy,5.9,"$175,000,000 ",697706,40
69,The Wizard of Oz,-1939,102 min,Adventure -  Family -  Fantasy,8.1,"$2,777,000 ",409210,92
70,Harry Potter and the Goblet of Fire,-2005,157 min,Adventure -  Family -  Fantasy,7.7,"$150,000,000 ",644802,81
71,The Witch,-2015,92 min,Drama -  Fantasy -  Horror,6.9,"$4,000,000 ",275291,83
72,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",-2005,143 min,Adventure -  Family -  Fantasy,6.9,"$180,000,000 ",409126,75
73,Ghostbusters: Afterlife,-2021,124 min,Adventure -  Comedy -  Fantasy,7.1,"$75,000,000 ",191231,45
74,Harry Potter and the Deathly Hallows: Part 2,-2011,130 min,Adventure -  Family -  Fantasy,8.1,"$125,000,000 ",897523,85
75,Sonic the Hedgehog 2,-2022,122 min,Action -  Adventure -  Comedy,6.5,"$110,000,000 ",73916,47
76,Howl's Moving Castle,-2004,119 min,Animation -  Adventure -  Family,8.2,"$24,000,000 ",409693,82
77,Dracula,-1992,128 min,Drama -  Fantasy -  Horror,7.4,"$40,000,000 ",224838,57
78,Coraline,-2009,100 min,Animation -  Drama -  Family,7.7,"$60,000,000 ",241578,80
79,Ratatouille,-2007,111 min,Animation -  Adventure -  Comedy,8.1,"$150,000,000 ",762596,96
80,Cinderella,(I) (2015),105 min,Adventure -  Drama -  Family,6.9,"$95,000,000 ",181930,67
81,Power Rangers,-2017,124 min,Action -  Adventure -  Fantasy,5.9,"$100,000,000 ",110981,44
82,Lilo & Stitch,-2002,85 min,Animation -  Adventure -  Comedy,7.3,"$80,000,000 ",198746,73
83,Star Wars: Episode V - The Empire Strikes Back,-1980,124 min,Action -  Adventure -  Fantasy,8.7,"$18,000,000 ",1316923,82
84,Jumanji,-1995,104 min,Adventure -  Comedy -  Family,7,"$65,000,000 ",356971,39
85,Fantastic Beasts: The Secrets of Dumbledore,-2022,142 min,Adventure -  Family -  Fantasy,6.2,"$200,000,000 ",151785,47
86,Harry Potter and the Chamber of Secrets,-2002,161 min,Adventure -  Family -  Fantasy,7.4,"$100,000,000 ",654313,63
87,Last Voyage of the Demeter,-2023,,Fantasy -  Horror,,,,
88,Beauty and the Beast,(I) (2017),129 min,Adventure -  Family -  Fantasy,7.1,"$160,000,000 ",317974,65
89,Charlie and the Chocolate Factory,-2005,115 min,Adventure -  Comedy -  Family,6.7,"$150,000,000 ",495296,72
90,Harry Potter and the Prisoner of Azkaban,-2004,142 min,Adventure -  Family -  Fantasy,7.9,"$130,000,000 ",653363,82
91,Toy Story,-1995,81 min,Animation -  Adventure -  Comedy,8.3,"$30,000,000 ",1014658,96
92,Guillermo del Toro's Pinocchio,-2022,117 min,Animation -  Drama -  Family,7.6,"$35,000,000 ",97244,79
93,Shrek,-2001,90 min,Animation -  Adventure -  Comedy,7.9,"$60,000,000 ",697422,84
94,Star Wars: Episode III - Revenge of the Sith,-2005,140 min,Action -  Adventure -  Fantasy,7.6,"$113,000,000 ",809116,68
95,Rebel Moon,-2023,,Action -  Adventure -  Drama,,"$90,000,000 ",,
96,Gods of Egypt,-2016,127 min,Action -  Adventure -  Drama,5.4,"$140,000,000 ",120658,25
97,Sonic the Hedgehog,-2020,99 min,Action -  Adventure -  Comedy,6.5,"$85,000,000 ",146610,47
98,Men,-2022,100 min,Drama -  Fantasy -  Horror,6.1,,50399,65
99,The Lord of the Rings: The Two Towers,-2002,179 min,Action -  Adventure -  Drama,8.8,"$94,000,000 ",1698529,87
100,The Lighthouse,(I) (2019),109 min,Drama -  Fantasy -  Mystery,7.4,"$11,000,000 ",229681,83
100,The Lighthouse,(I) (2019),109 min,Drama -  Fantasy -  Mystery,7.4,"$11,000,000 ",229681,83
101,About Time,(I) (2013),123 min,Comedy -  Drama -  Fantasy,7.8,"$12,000,000 ",363141,55
102,The School for Good and Evil,-2022,147 min,Action -  Comedy -  Drama,5.8,,31010,30
103,It Chapter Two,-2019,169 min,Drama -  Fantasy -  Horror,6.5,"$79,000,000 ",278474,58
104,Aladdin,-2019,128 min,Adventure -  Comedy -  Family,6.9,"$183,000,000 ",274381,53
105,Inside Out,(I) (2015),95 min,Animation -  Adventure -  Comedy,8.1,"$175,000,000 ",733338,94
106,Constantine,-2005,121 min,Action -  Fantasy -  Horror,7,"$100,000,000 ",357178,50
107,The Little Mermaid,-1989,83 min,Animation -  Adventure -  Family,7.6,"$40,000,000 ",271739,88
108,The Lorax,-2012,86 min,Animation -  Adventure -  Comedy,6.4,"$70,000,000 ",119444,46
109,Pirates of the Caribbean: Dead Men Tell No Tales,-2017,129 min,Action -  Adventure -  Fantasy,6.5,"$230,000,000 ",323152,39
110,Roald Dahl's Matilda the Musical,-2022,117 min,Comedy -  Drama -  Family,7.1,,22589,72
111,Jumanji: The Next Level,-2019,123 min,Action -  Adventure -  Comedy,6.7,"$125,000,000 ",261898,58
112,A Bug's Life,-1998,95 min,Animation -  Adventure -  Comedy,7.2,"$120,000,000 ",300713,77
113,The Secret Garden,-1993,101 min,Drama -  Family -  Fantasy,7.3,"$18,000,000 ",42725,74
114,Ghostbusters,-1984,105 min,Action -  Comedy -  Fantasy,7.8,"$30,000,000 ",424618,71
115,Elemental,-2023,93 min,Animation -  Adventure -  Comedy,,,,
116,How to Train Your Dragon,-2010,98 min,Animation -  Action -  Adventure,8.1,"$165,000,000 ",758637,75
117,DC League of Super-Pets,-2022,105 min,Animation -  Action -  Adventure,7.2,"$90,000,000 ",68737,56
118,Mortal Kombat,-2021,110 min,Action -  Adventure -  Fantasy,6,"$55,000,000 ",180099,44
119,Sonic the Hedgehog 3,-2024,,Animation -  Action -  Adventure,,,,
120,Teen Wolf: The Movie,-2023,140 min,Action -  Drama -  Fantasy,5.5,,11557,51
121,Star Wars: Episode II - Attack of the Clones,-2002,142 min,Action -  Adventure -  Fantasy,6.6,"$115,000,000 ",727121,54
122,Haunted Mansion,-2023,,Comedy -  Drama -  Family,,,,
123,Alice in Wonderland,(I) (2010),108 min,Adventure -  Family -  Fantasy,6.4,"$200,000,000 ",424420,53
124,Tangled,-2010,100 min,Animation -  Adventure -  Comedy,7.7,"$260,000,000 ",467402,71
125,Justice League,-2017,120 min,Action -  Adventure -  Fantasy,6.1,"$300,000,000 ",461929,45
126,Chaos Walking,-2021,109 min,Action -  Adventure -  Fantasy,5.7,"$125,000,000 ",52251,38
127,Frozen,(I) (2013),102 min,Animation -  Adventure -  Comedy,7.4,"$150,000,000 ",637900,75
128,Suspiria,(I) (2018),152 min,Drama -  Fantasy -  Horror,6.7,"$20,000,000 ",83910,64
129,Shang-Chi and the Legend of the Ten Rings,-2021,132 min,Action -  Adventure -  Fantasy,7.4,"$200,000,000 ",399386,71
130,Coco,(I) (2017),105 min,Animation -  Adventure -  Comedy,8.4,"$175,000,000 ",530683,81
131,"Lyle, Lyle, Crocodile",-2022,106 min,Animation -  Adventure -  Comedy,6.1,"$50,000,000 ",11066,51
132,The Legend of Tarzan,-2016,110 min,Action -  Adventure -  Drama,6.2,"$180,000,000 ",180983,44
133,Star Wars: Episode VIII - The Last Jedi,-2017,152 min,Action -  Adventure -  Fantasy,6.9,"$317,000,000 ",645955,84
134,Mandy,(I) (2018),121 min,Action -  Fantasy -  Horror,6.5,"$6,000,000 ",83333,82
135,Stardust,-2007,127 min,Adventure -  Family -  Fantasy,7.6,"$70,000,000 ",277068,66
136,Willy Wonka & the Chocolate Factory,-1971,100 min,Family -  Fantasy -  Musical,7.8,"$3,000,000 ",208593,67
137,Harry Potter and the Deathly Hallows: Part 1,-2010,146 min,Adventure -  Family -  Fantasy,7.7,"£150,000,000",565908,65
138,The Green Knight,-2021,130 min,Adventure -  Drama -  Fantasy,6.6,,106762,85
139,The Jungle Book,-2016,106 min,Adventure -  Drama -  Family,7.4,"$175,000,000 ",282743,77
140,Hercules,-1997,93 min,Animation -  Adventure -  Comedy,7.3,"$85,000,000 ",239920,74
141,The Lego Movie,-2014,100 min,Animation -  Action -  Adventure,7.7,"$60,000,000 ",367254,83
142,Doctor Sleep,-2019,152 min,Drama -  Fantasy -  Horror,7.3,"$45,000,000 ",200886,59
143,Pixels,-2015,105 min,Action -  Comedy -  Fantasy,5.6,"$88,000,000 ",150013,27
144,"Monsters, Inc.",-2001,92 min,Animation -  Adventure -  Comedy,8.1,"$115,000,000 ",929061,79
145,Harry Potter and the Order of the Phoenix,-2007,138 min,Action -  Adventure -  Family,7.5,"$150,000,000 ",599161,71
146,Thor,-2011,115 min,Action -  Fantasy,7,"$150,000,000 ",865459,57
147,Pan's Labyrinth,-2006,118 min,Drama -  Fantasy -  War,8.2,"$19,000,000 ",679519,98
148,Groundhog Day,-1993,101 min,Comedy -  Drama -  Fantasy,8,"$14,600,000 ",648659,72
149,Violent Night,-2022,112 min,Action -  Comedy -  Crime,6.7,"$20,000,000 ",69887,55
150,Turning Red,-2022,100 min,Animation -  Adventure -  Comedy,7,"$175,000,000 ",133321,83
150,Turning Red,-2022,100 min,Animation -  Adventure -  Comedy,7,"$175,000,000 ",133321,83
151,Meet Joe Black,-1998,178 min,Drama -  Fantasy -  Romance,7.2,"$90,000,000 ",251252,43
152,Thunderbolts,-2024,,Action -  Adventure -  Crime,,,,
153,Kung Fu Panda,-2008,92 min,Animation -  Action -  Adventure,7.6,"$130,000,000 ",486779,74
154,Pan,-2015,111 min,Action -  Adventure -  Comedy,5.7,"$150,000,000 ",65721,36
155,Thor: Ragnarok,-2017,130 min,Action -  Adventure -  Comedy,7.9,"$180,000,000 ",772464,74
156,Tomorrowland,-2015,130 min,Action -  Adventure -  Family,6.4,"$190,000,000 ",185863,60
157,The Shape of Water,-2017,123 min,Drama -  Fantasy -  Romance,7.3,"$19,400,000 ",431157,87
158,Wonder Woman,-2017,141 min,Action -  Adventure -  Fantasy,7.4,"$149,000,000 ",672550,76
159,Puss in Boots,-2011,90 min,Animation -  Adventure -  Comedy,6.6,"$130,000,000 ",180248,65
160,Legend,-1985,94 min,Adventure -  Fantasy -  Romance,6.3,"$24,500,000 ",68799,30
161,The Curious Case of Benjamin Button,-2008,166 min,Drama -  Fantasy -  Romance,7.8,"$150,000,000 ",665990,70
162,Wonder Woman 1984,-2020,151 min,Action -  Adventure -  Fantasy,5.4,"$200,000,000 ",277415,60
163,Percy Jackson & the Olympians: The Lightning Thief,-2010,118 min,Adventure -  Family -  Fantasy,5.8,"$95,000,000 ",193499,47
164,Strange World,-2022,102 min,Animation -  Action -  Adventure,5.6,"$120,000,000 ",39072,65
165,Scooby-Doo,-2002,86 min,Adventure -  Comedy -  Family,5.2,"$84,000,000 ",118344,35
166,Van Helsing,-2004,131 min,Action -  Adventure -  Fantasy,6,"$160,000,000 ",273764,35
167,Godzilla: King of the Monsters,-2019,132 min,Action -  Adventure -  Fantasy,6,"$170,000,000 ",189634,48
168,Harry Potter and the Half-Blood Prince,-2009,153 min,Action -  Adventure -  Family,7.6,"$250,000,000 ",562242,78
169,This Is the End,-2013,107 min,Comedy -  Fantasy,6.6,"$32,000,000 ",421462,67
170,Luck,(I) (2022),105 min,Animation -  Adventure -  Comedy,6.4,,22924,48
171,Pirates of the Caribbean: On Stranger Tides,-2011,136 min,Action -  Adventure -  Fantasy,6.6,"$250,000,000 ",540042,45
172,The Mummy,-2017,110 min,Action -  Adventure -  Fantasy,5.4,"$125,000,000 ",195811,34
173,Ghost,-1990,127 min,Drama -  Fantasy -  Romance,7.1,"$22,000,000 ",224726,52
174,Vanilla Sky,-2001,136 min,Fantasy -  Mystery -  Romance,6.9,"$68,000,000 ",275288,45
175,Pirates of the Caribbean: Dead Man's Chest,-2006,151 min,Action -  Adventure -  Fantasy,7.3,"$225,000,000 ",734669,53
176,Liar Liar,-1997,86 min,Comedy -  Fantasy,6.9,"$45,000,000 ",318199,70
177,Kong: Skull Island,-2017,118 min,Action -  Adventure -  Fantasy,6.6,"$185,000,000 ",328833,62
178,Day Shift,-2022,113 min,Action -  Comedy -  Fantasy,6.1,"$100,000,000 ",82427,51
179,Click,-2006,107 min,Comedy -  Drama -  Fantasy,6.4,"$82,500,000 ",341134,45
180,Aladdin,-1992,90 min,Animation -  Adventure -  Comedy,8,"$28,000,000 ",434578,86
181,Conan the Barbarian,-1982,129 min,Action -  Adventure -  Fantasy,6.9,"$20,000,000 ",154571,43
182,Underworld,-2003,121 min,Action -  Fantasy -  Thriller,7,"$22,000,000 ",276405,42
183,Interview with the Vampire: The Vampire Chronicles,-1994,123 min,Drama -  Fantasy -  Horror,7.5,"$60,000,000 ",331862,59
