Number,Title,Year,Runtime,Genre,Rating,Budget,Votes,Metascore
259,The Hobbit: The Battle of the Five Armies,-2014,144 min,Adventure -  Fantasy,7.4,"$250,000,000 ",546250,59
260,The Covenant,-2006,97 min,Action -  Adventure -  Fantasy,5.1,"$20,000,000 ",50648,19
261,Treasure Planet,-2002,95 min,Animation -  Adventure -  Family,7.2,"$140,000,000 ",124457,60
262,Fantasy Island,-2020,109 min,Fantasy -  Horror -  Mystery,4.9,"$7,000,000 ",54780,22
263,The Mummy Returns,-2001,130 min,Action -  Adventure -  Fantasy,6.4,"$98,000,000 ",334203,48
264,The Prince of Egypt,-1998,99 min,Animation -  Adventure -  Drama,7.2,"$70,000,000 ",138058,64
265,47 Ronin,-2013,128 min,Action -  Drama -  Fantasy,6.2,"$175,000,000 ",164702,28
266,Raya and the Last Dragon,-2021,107 min,Animation -  Action -  Adventure,7.3,,158713,74
267,Marcel the Shell with Shoes On,-2021,90 min,Animation -  Comedy -  Drama,7.7,,18136,80
268,The Emperor's New Groove,-2000,78 min,Animation -  Adventure -  Comedy,7.4,"$100,000,000 ",211953,70
269,Fire in the Sky,-1993,109 min,Biography -  Drama -  Fantasy,6.5,"$15,000,000 ",26297,42
270,Big,-1988,104 min,Comedy -  Drama -  Fantasy,7.3,"$18,000,000 ",228832,73
271,Atlantis: The Lost Empire,-2001,95 min,Animation -  Action -  Adventure,6.9,"$120,000,000 ",125659,52
272,Cats,-2019,110 min,Comedy -  Drama -  Family,2.8,"$95,000,000 ",53220,32
273,Snake Eyes,-2021,121 min,Action -  Adventure -  Crime,5.4,"$88,000,000 ",41462,43
274,Fantastic Beasts: The Crimes of Grindelwald,-2018,134 min,Adventure -  Family -  Fantasy,6.5,"$200,000,000 ",292663,52
275,Buffy the Vampire Slayer,-1992,86 min,Action -  Comedy -  Fantasy,5.7,"$7,000,000 ",46814,48
276,Trolls Band Together,-2023,,Animation -  Adventure -  Comedy,,,,
277,Immortals,-2011,110 min,Action -  Drama -  Fantasy,6,"$75,000,000 ",171735,46
278,Kung Fu Panda 4,-2024,,Animation -  Action -  Adventure,,,,
279,The Cat in the Hat,-2003,82 min,Adventure -  Comedy -  Family,4,"$109,000,000 ",85018,19
280,Mama,(I) (2013),100 min,Fantasy -  Horror -  Thriller,6.2,"$15,000,000 ",185444,57
281,Who Framed Roger Rabbit,-1988,104 min,Animation -  Adventure -  Comedy,7.7,"$70,000,000 ",207347,83
282,The Last Airbender,-2010,103 min,Action -  Adventure -  Family,4,"$150,000,000 ",167009,20
283,The Craft,-1996,101 min,Drama -  Fantasy -  Horror,6.4,"$15,000,000 ",99155,55
284,Triangle,-2009,99 min,Fantasy -  Mystery -  Sci-Fi,6.9,"$12,000,000 ",121007,
285,Big Trouble in Little China,-1986,99 min,Action -  Adventure -  Comedy,7.2,"$25,000,000 ",146044,53
286,Enchanted,-2007,107 min,Animation -  Adventure -  Comedy,7.1,"$85,000,000 ",209937,75
287,Akira,-1988,124 min,Animation -  Action -  Drama,8,"¥1,100,000,000",192849,67
288,A Cure for Wellness,-2016,146 min,Drama -  Fantasy -  Horror,6.4,"$40,000,000 ",103577,47
289,Being John Malkovich,-1999,113 min,Comedy -  Drama -  Fantasy,7.7,"$13,000,000 ",343205,90
290,My Neighbor Totoro,-1988,86 min,Animation -  Comedy -  Family,8.1,"$3,700,000 ",350978,86
291,The Magic Flute,-2022,115 min,Adventure -  Fantasy -  Musical,5.6,,455,
292,Your Highness,-2011,102 min,Action -  Adventure -  Comedy,5.5,"$49,900,000 ",102739,31
293,Sausage Party,-2016,89 min,Animation -  Adventure -  Comedy,6.1,"$19,000,000 ",200325,66
294,Bruce Almighty,-2003,101 min,Comedy -  Fantasy,6.8,"$81,000,000 ",414622,46
295,Into the Woods,-2014,125 min,Adventure -  Comedy -  Drama,5.9,"$50,000,000 ",144095,69
296,The Innocents,-2021,117 min,Drama -  Fantasy -  Horror,7,,19486,79
297,Sleepy Hollow,-1999,105 min,Fantasy -  Horror -  Mystery,7.3,"$100,000,000 ",369125,65
298,Clash of the Titans,-2010,106 min,Action -  Adventure -  Fantasy,5.8,"$125,000,000 ",286653,39
299,Dogma,-1999,130 min,Adventure -  Comedy -  Drama,7.3,"$10,000,000 ",222315,62
300,Samaritan,-2022,102 min,Action -  Drama -  Fantasy,5.7,"$100,000,000 ",49778,45
300,Samaritan,-2022,102 min,Action -  Drama -  Fantasy,5.7,"$100,000,000 ",49778,45
301,Anastasia,-1997,94 min,Animation -  Adventure -  Drama,7.1,"$50,000,000 ",128849,61
302,Slumberland,-2022,117 min,Adventure -  Comedy -  Drama,6.7,"$150,000,000 ",25732,40
303,Maleficent,-2014,97 min,Adventure -  Family -  Fantasy,6.9,"$180,000,000 ",385100,56
304,Avatar 3,-2024,,Action -  Adventure -  Fantasy,,,,
305,Hercules,(I) (2014),98 min,Action -  Adventure -  Fantasy,6,"$100,000,000 ",159873,47
306,The Man from Earth,-2007,87 min,Drama -  Fantasy -  Mystery,7.9,"$200,000 ",192145,
307,Shallow Hal,-2001,114 min,Comedy -  Drama -  Fantasy,6,"$40,000,000 ",137626,48
308,Spirited Away: Live on Stage,-2022,170 min,Adventure -  Family -  Fantasy,8.7,,198,
309,Swiss Army Man,-2016,97 min,Comedy -  Drama -  Fantasy,6.9,"$3,000,000 ",127805,64
310,"Crouching Tiger, Hidden Dragon",-2000,120 min,Action -  Adventure -  Drama,7.9,"$17,000,000 ",275168,94
311,Death Becomes Her,-1992,104 min,Comedy -  Fantasy -  Horror,6.6,"$55,000,000 ",123865,56
312,Gremlins,-1984,106 min,Comedy -  Fantasy -  Horror,7.3,"$11,000,000 ",233437,70
313,Mannequin,-1987,90 min,Comedy -  Fantasy -  Romance,5.9,"$6,000,000 ",33464,21
314,Chitty Chitty Bang Bang,-1968,144 min,Adventure -  Family -  Fantasy,6.9,"$10,000,000 ",47977,64
315,Legend of the White Dragon,-2023,,Action -  Fantasy -  Sci-Fi,,,,
316,Toy Story 2,-1999,92 min,Animation -  Adventure -  Comedy,7.9,"$90,000,000 ",593858,88
317,Sucker Punch,-2011,110 min,Action -  Adventure -  Fantasy,6,"$82,000,000 ",246329,33
318,Yesterday,(III) (2019),116 min,Comedy -  Fantasy -  Music,6.8,"$26,000,000 ",158589,55
319,Cinderella,(I) (2021),113 min,Comedy -  Family -  Fantasy,4.3,,43423,41
320,Lamb,-2021,106 min,Drama -  Fantasy -  Horror,6.3,,31910,68
321,Teen Wolf,-1985,91 min,Comedy -  Fantasy -  Romance,6.1,,56440,25
322,Warcraft,-2016,123 min,Action -  Adventure -  Fantasy,6.7,"$160,000,000 ",269749,32
323,Dragon Ball Super: Super Hero,-2022,100 min,Animation -  Action -  Adventure,7.1,,11515,65
324,The League of Extraordinary Gentlemen,-2003,110 min,Action -  Adventure -  Fantasy,5.8,"$78,000,000 ",179356,30
325,The Sea Beast,-2022,115 min,Animation -  Adventure -  Comedy,7,,51679,74
326,Space Jam: A New Legacy,-2021,115 min,Animation -  Adventure -  Comedy,4.5,"$150,000,000 ",75347,36
327,Oz the Great and Powerful,-2013,130 min,Adventure -  Family -  Fantasy,6.3,"$215,000,000 ",210749,44
328,What Happened to Monday,-2017,123 min,Action -  Crime -  Fantasy,6.8,,127741,47
329,"Ruby Gillman, Teenage Kraken",-2023,,Animation -  Action -  Adventure,,,,
330,Space Jam,-1996,88 min,Animation -  Adventure -  Comedy,6.5,"$80,000,000 ",203481,59
331,Garfield,-2024,,Animation -  Adventure -  Comedy,,,,
332,Paddington 2,-2017,103 min,Adventure -  Comedy -  Family,7.8,"$40,000,000 ",84458,88
333,Monsters University,-2013,104 min,Animation -  Adventure -  Comedy,7.2,"$200,000,000 ",370106,65
334,The Illusionist,-2006,110 min,Drama -  Fantasy -  Mystery,7.5,"$16,500,000 ",379517,68
335,Powder,-1995,111 min,Drama -  Fantasy -  Mystery,6.6,"$9,500,000 ",31440,
336,Troll,-2022,101 min,Action -  Adventure -  Drama,5.8,,44089,62
337,How to Train Your Dragon 2,-2014,102 min,Animation -  Action -  Adventure,7.8,"$145,000,000 ",346361,77
338,Mad God,-2021,83 min,Animation -  Fantasy -  Horror,6.8,,11283,80
339,Cloudy with a Chance of Meatballs,-2009,90 min,Animation -  Adventure -  Comedy,6.9,"$100,000,000 ",242766,66
340,Hotel Transylvania 4: Transformania,-2022,87 min,Animation -  Adventure -  Comedy,6,,33835,46
341,Thir13en Ghosts,-2001,91 min,Fantasy -  Horror,5.6,"$42,000,000 ",89803,30
342,Fright Night,-1985,106 min,Fantasy -  Horror,7,"$9,000,000 ",74026,62
343,Practical Magic,-1998,104 min,Comedy -  Drama -  Fantasy,6.3,"$75,000,000 ",86310,46
344,Thor: The Dark World,-2013,112 min,Action -  Adventure -  Fantasy,6.8,"$170,000,000 ",697405,54
345,The Chronicles of Narnia: Prince Caspian,-2008,150 min,Action -  Adventure -  Family,6.5,"$225,000,000 ",216531,62
346,Barbarella,-1968,98 min,Adventure -  Comedy -  Fantasy,5.8,"$9,000,000 ",36099,51
347,We Can Be Heroes,(II) (2020),100 min,Action -  Comedy -  Drama,4.7,,15888,51
348,Ralph Breaks the Internet,-2018,112 min,Animation -  Adventure -  Comedy,7,"$175,000,000 ",168915,71
349,Ghostbusters,-2016,117 min,Action -  Comedy -  Fantasy,6.8,"$144,000,000 ",236479,60
350,The VelociPastor,-2018,75 min,Action -  Adventure -  Comedy,5,"$11,000 ",7473,
350,The VelociPastor,-2018,75 min,Action -  Adventure -  Comedy,5,"$11,000 ",7473,
351,Love and Monsters,-2020,109 min,Action -  Adventure -  Comedy,6.9,,133792,63
352,The Twilight Saga: Eclipse,-2010,124 min,Action -  Adventure -  Drama,5,"$68,000,000 ",251456,58
353,Pet Sematary,-1989,103 min,Fantasy -  Horror -  Thriller,6.5,"$11,500,000 ",108613,38
354,Tale of Tales,-2015,134 min,Drama -  Fantasy -  Horror,6.4,"€12,000,000",29731,72
355,The Fall,(I) (2006),117 min,Adventure -  Drama -  Fantasy,7.8,"$30,000,000 ",114162,64
356,Fantastic Four,(I) (2005),106 min,Action -  Adventure -  Fantasy,5.7,"$100,000,000 ",335370,40
357,Hancock,-2008,92 min,Action -  Comedy -  Drama,6.4,"$150,000,000 ",493810,49
358,Hellboy,-2004,122 min,Action -  Adventure -  Fantasy,6.8,"$66,000,000 ",337639,72
359,Dead Alive,-1992,104 min,Comedy -  Fantasy -  Horror,7.5,"$3,000,000 ",99822,54
360,Dragonball Evolution,-2009,85 min,Action -  Adventure -  Fantasy,2.5,"$30,000,000 ",76664,45
361,Bedtime Stories,-2008,99 min,Adventure -  Comedy -  Family,6,"$80,000,000 ",97971,33
362,Doctor Dolittle,-1998,85 min,Comedy -  Family -  Fantasy,5.4,"$71,500,000 ",99274,46
363,Lara Croft: Tomb Raider,-2001,100 min,Action -  Adventure -  Fantasy,5.7,"$115,000,000 ",213380,33
364,Downsizing,-2017,135 min,Drama -  Fantasy -  Sci-Fi,5.8,"$68,000,000 ",115270,63
365,Shrek Forever After,-2010,95 min,Animation -  Adventure -  Comedy,6.3,"$165,000,000 ",213909,58
366,Paddington,-2014,95 min,Adventure -  Comedy -  Family,7.3,"$55,000,000 ",123112,77
367,Eragon,-2006,104 min,Action -  Adventure -  Family,5.1,"$100,000,000 ",128180,38
368,R.I.P.D. 2: Rise of the Damned,-2022,102 min,Action -  Adventure -  Comedy,4.5,,4203,
369,Tumbbad,-2018,104 min,Drama -  Fantasy -  Horror,8.2,,52487,
370,The Twilight Saga: New Moon,-2009,130 min,Adventure -  Drama -  Fantasy,4.7,"$50,000,000 ",290157,44
371,Mortal Engines,-2018,128 min,Action -  Adventure -  Fantasy,6.1,"$100,000,000 ",130507,44
372,Hellboy,-2019,120 min,Action -  Adventure -  Fantasy,5.2,"$50,000,000 ",93607,31
373,The Witches,-2020,106 min,Adventure -  Comedy -  Family,5.3,,43372,47
374,The Great Wall,(I) (2016),103 min,Action -  Adventure -  Fantasy,5.9,"$150,000,000 ",140083,42
375,Mortal Kombat,-1995,101 min,Action -  Adventure -  Fantasy,5.8,"$18,000,000 ",120712,60
376,The Dark Tower,-2017,95 min,Action -  Adventure -  Fantasy,5.6,"$60,000,000 ",141704,34
377,Goosebumps,-2015,103 min,Adventure -  Comedy -  Fantasy,6.3,"$58,000,000 ",91524,60
378,Dracula Untold,-2014,92 min,Action -  Drama -  Fantasy,6.2,"$70,000,000 ",200755,40
379,Sorry to Bother You,-2018,112 min,Comedy -  Drama -  Fantasy,6.9,"$3,200,000 ",83393,80
380,Masters of the Universe,-1987,106 min,Action -  Adventure -  Fantasy,5.3,"$22,000,000 ",42282,35
381,The Change-Up,-2011,112 min,Comedy -  Fantasy,6.3,"$52,000,000 ",188513,39
382,Journey to the Center of the Earth,-2008,93 min,Action -  Adventure -  Family,5.8,"$60,000,000 ",126699,57
383,The Hot Chick,-2002,104 min,Comedy -  Fantasy,5.5,,98551,29
384,Snow White and the Huntsman,-2012,127 min,Action -  Adventure -  Drama,6.1,"$170,000,000 ",294585,57
385,Eraserhead,-1977,89 min,Fantasy -  Horror,7.3,"$10,000 ",120813,87
386,Rookie of the Year,-1993,103 min,Comedy -  Family -  Fantasy,6.1,"$10,000,000 ",29524,53
387,Resident Evil: Death Island,-2023,,Animation -  Action -  Adventure,,,,
388,Ponyo,-2008,101 min,Animation -  Adventure -  Comedy,7.6,"$34,000,000 ",150057,86
389,Prince of Persia: The Sands of Time,-2010,116 min,Action -  Adventure -  Fantasy,6.6,"$200,000,000 ",295488,50
390,What Dreams May Come,-1998,113 min,Drama -  Fantasy -  Romance,6.9,"$85,000,000 ",111218,44
391,Trolls World Tour,-2020,91 min,Animation -  Adventure -  Comedy,6.1,"$90,000,000 ",25104,51
392,The Twilight Saga: Breaking Dawn - Part 1,-2011,117 min,Adventure -  Drama -  Fantasy,4.9,"$110,000,000 ",245741,45
393,Night at the Museum: Secret of the Tomb,-2014,98 min,Adventure -  Comedy -  Family,6.2,"$127,000,000 ",128186,47
394,FernGully: The Last Rainforest,-1992,76 min,Animation -  Adventure -  Family,6.5,"$24,000,000 ",31906,67
395,Deliver Us from Evil,(I) (2014),118 min,Action -  Adventure -  Crime,6.2,"$30,000,000 ",80593,40
396,The Nightmare Before Christmas,-1993,76 min,Animation -  Family -  Fantasy,7.9,"$18,000,000 ",350767,82
397,"10,000 BC",-2008,109 min,Action -  Adventure -  Drama,5.1,"$105,000,000 ",133184,34
398,Status Update,(II) (2018),106 min,Comedy -  Fantasy -  Romance,5.8,,5531,
399,Bedazzled,-2000,93 min,Comedy -  Fantasy,6.1,"$48,000,000 ",108292,49
400,Kung Fu Panda 3,-2016,95 min,Animation -  Action -  Adventure,7.1,"$145,000,000 ",168728,66
400,Kung Fu Panda 3,-2016,95 min,Animation -  Action -  Adventure,7.1,"$145,000,000 ",168728,66
401,Conan the Barbarian,-2011,113 min,Action -  Adventure -  Fantasy,5.1,"$90,000,000 ",100620,36
402,Journey 2: The Mysterious Island,-2012,94 min,Action -  Adventure -  Comedy,5.7,"$79,000,000 ",107596,41
403,Onward,(I) (2020),102 min,Animation -  Adventure -  Comedy,7.4,"$175,000,000 ",156668,61
404,Fallen,-1998,124 min,Action -  Crime -  Drama,7,,86797,
405,Shrek the Third,-2007,93 min,Animation -  Adventure -  Comedy,6.1,"$160,000,000 ",317637,58
406,Casper,-1995,100 min,Comedy -  Family -  Fantasy,6.1,"$55,000,000 ",138920,49
407,The Golden Compass,-2007,113 min,Adventure -  Family -  Fantasy,6.1,"$180,000,000 ",192281,51
408,The Boss Baby,-2017,97 min,Animation -  Adventure -  Comedy,6.3,"$125,000,000 ",132585,50
409,1408,-2007,104 min,Fantasy -  Horror -  Mystery,6.8,"$25,000,000 ",280887,64
410,Pete's Dragon,-2016,102 min,Action -  Adventure -  Comedy,6.7,"$65,000,000 ",59950,71
411,Last Action Hero,-1993,130 min,Action -  Adventure -  Comedy,6.4,"$85,000,000 ",156559,44
412,The Tree of Life,-2011,139 min,Drama -  Fantasy,6.8,"$32,000,000 ",180158,85
413,"South Park: Bigger, Longer & Uncut",-1999,81 min,Animation -  Comedy -  Fantasy,7.7,"$21,000,000 ",209307,73
414,Legion,-2010,100 min,Action -  Fantasy -  Horror,5.2,"$26,000,000 ",107619,32
415,The Witches of Eastwick,-1987,118 min,Comedy -  Fantasy -  Horror,6.5,"$22,000,000 ",73204,67
416,Return to Oz,-1985,113 min,Adventure -  Family -  Fantasy,6.7,"$25,000,000 ",28764,42
417,Ghost Rider: Spirit of Vengeance,-2011,96 min,Action -  Adventure -  Fantasy,4.3,"$57,000,000 ",122476,34
418,The Seventh Seal,-1957,96 min,Drama -  Fantasy,8.1,"$150,000 ",189368,88
419,In the Mouth of Madness,-1994,95 min,Drama -  Fantasy -  Horror,7.1,"$8,000,000 ",73598,53
420,The Endless,(I) (2017),111 min,Drama -  Fantasy -  Horror,6.5,,45436,80
421,The Cursed,-2021,111 min,Fantasy -  Horror -  Mystery,6.2,,12999,62
422,Clash of the Titans,-1981,118 min,Action -  Adventure -  Family,6.9,"$15,000,000 ",45842,59
423,Tuck Everlasting,-2002,90 min,Drama -  Family -  Fantasy,6.6,"$15,000,000 ",24570,66
424,Snow White and the Seven Dwarfs,-1937,83 min,Animation -  Adventure -  Family,7.6,"$1,499,000 ",205357,96
425,Nosferatu,-1922,94 min,Fantasy -  Horror,7.9,,100511,
426,Hugo,-2011,126 min,Adventure -  Drama -  Family,7.5,"$150,000,000 ",328219,83
427,Maleficent: Mistress of Evil,-2019,119 min,Adventure -  Family -  Fantasy,6.6,"$185,000,000 ",110190,43
428,The Road to El Dorado,-2000,89 min,Animation -  Adventure -  Comedy,6.9,"$95,000,000 ",101014,51
429,Wish Dragon,-2021,98 min,Animation -  Adventure -  Comedy,7.2,,29543,59
430,Hocus Pocus,-1993,96 min,Comedy -  Family -  Fantasy,6.9,"$28,000,000 ",145526,43
431,Freaky Friday,-2003,97 min,Comedy -  Family -  Fantasy,6.3,"$20,000,000 ",144198,70
432,The Dead Don't Die,-2019,104 min,Comedy -  Fantasy -  Horror,5.4,,81760,53
433,Above the Shadows,-2019,111 min,Drama -  Fantasy -  Romance,6.1,,3548,
434,PAW Patrol: The Movie,-2021,86 min,Animation -  Action -  Adventure,6.1,"$26,000,000 ",6949,50
435,Mary Poppins Returns,-2018,130 min,Adventure -  Comedy -  Family,6.7,"$130,000,000 ",91024,66
436,Let the Right One In,-2008,114 min,Drama -  Fantasy -  Horror,7.9,"$4,000,000 ",221143,82
437,The Last Witch Hunter,-2015,106 min,Action -  Adventure -  Fantasy,5.9,"$90,000,000 ",106295,34
438,The Flintstones,-1994,91 min,Comedy -  Family -  Fantasy,5,"$46,000,000 ",83217,38
439,Tom & Jerry,(II) (2021),101 min,Animation -  Adventure -  Comedy,5.2,"$79,000,000 ",37136,32
440,The King's Daughter,-2022,98 min,Action -  Adventure -  Family,5.1,"$40,500,000 ",4988,31
441,A Series of Unfortunate Events,-2004,108 min,Adventure -  Comedy -  Family,6.8,"$140,000,000 ",213906,62
442,Hatching,-2022,91 min,Drama -  Fantasy -  Horror,6.2,"€3,954,376",12196,75
443,Reign of Fire,-2002,101 min,Action -  Adventure -  Fantasy,6.2,"$60,000,000 ",140342,39
444,Nosferatu,(I),,Drama -  Fantasy -  Horror,,,,
445,Dinosaur,-2000,82 min,Animation -  Adventure -  Drama,6.4,"$127,500,000 ",63663,56
446,Ladybug & Cat Noir: The Movie,-2023,105 min,Animation -  Action -  Adventure,,"€80,000,000",,
447,Kiki's Delivery Service,-1989,103 min,Animation -  Family -  Fantasy,7.8,"¥800,000,000",151068,85
448,Odd Thomas,-2013,97 min,Comedy -  Fantasy -  Horror,6.8,"$27,000,000 ",55119,45
449,Alice Through the Looking Glass,-2016,113 min,Adventure -  Family -  Fantasy,6.2,"$170,000,000 ",114262,34
450,Pride and Prejudice and Zombies,-2016,108 min,Action -  Comedy -  Fantasy,5.8,"$28,000,000 ",58247,45
450,Pride and Prejudice and Zombies,-2016,108 min,Action -  Comedy -  Fantasy,5.8,"$28,000,000 ",58247,45
451,Zathura: A Space Adventure,-2005,101 min,Action -  Adventure -  Comedy,6.2,"$65,000,000 ",109109,67
452,Kung Fu Panda 2,-2011,90 min,Animation -  Action -  Adventure,7.2,"$150,000,000 ",297205,67
453,Mirage,-2018,128 min,Drama -  Fantasy -  Mystery,7.4,,59478,
454,Zardoz,-1974,105 min,Adventure -  Fantasy -  Sci-Fi,5.8,"$1,570,000 ",23504,46
455,Mad Heidi,-2022,92 min,Action -  Adventure -  Comedy,5.5,"CHF 2,600,000",2454,
456,Teeth,(I) (2007),94 min,Comedy -  Fantasy -  Horror,5.4,,44838,57
457,The Haunting,-1999,113 min,Fantasy -  Horror -  Mystery,5,"$80,000,000 ",78167,42
458,The Chronicles of Narnia: The Voyage of the Dawn Treader,-2010,113 min,Adventure -  Family -  Fantasy,6.3,"$155,000,000 ",159185,53
459,Freaks Out,-2021,141 min,Adventure -  Drama -  Fantasy,7,"€13,000,000",5825,42
460,Epic Movie,-2007,86 min,Adventure -  Comedy -  Fantasy,2.4,"$20,000,000 ",107377,17
461,Alvin and the Chipmunks,-2007,92 min,Animation -  Adventure -  Comedy,5.2,"$60,000,000 ",89591,39
462,Paprika,-2006,90 min,Animation -  Drama -  Fantasy,7.7,"¥300,000,000",87281,81
463,9,(I) (2009),79 min,Animation -  Action -  Adventure,7,"$30,000,000 ",142956,60
464,Monster House,-2006,91 min,Animation -  Comedy -  Family,6.6,"$75,000,000 ",127440,68
465,The BFG,-2016,117 min,Adventure -  Family -  Fantasy,6.3,"$140,000,000 ",89091,66
466,The Mortal Instruments: City of Bones,-2013,130 min,Action -  Adventure -  Fantasy,5.8,"$60,000,000 ",136211,33
467,Chip 'n Dale: Rescue Rangers,-2022,97 min,Animation -  Action -  Adventure,7,"$70,000,000 ",43316,66
468,Death Note,(I) (2017),101 min,Crime -  Drama -  Fantasy,4.5,"$50,000,000 ",87244,43
469,What Women Want,-2000,127 min,Comedy -  Fantasy -  Romance,6.4,"$70,000,000 ",213402,47
470,A Ghost Story,-2017,92 min,Drama -  Fantasy -  Romance,6.8,"$100,000 ",75232,84
471,Turbo: A Power Rangers Movie,-1997,99 min,Action -  Adventure -  Family,3.6,"$8,000,000 ",9306,35
472,Nanny McPhee,-2005,97 min,Comedy -  Family -  Fantasy,6.6,"$25,000,000 ",80321,59
473,Elf,-2003,97 min,Adventure -  Comedy -  Family,7.1,"$33,000,000 ",286316,64
474,Before I Fall,-2017,98 min,Drama -  Fantasy -  Mystery,6.4,"$5,000,000 ",54513,58
475,The Mummy: Tomb of the Dragon Emperor,-2008,112 min,Action -  Adventure -  Fantasy,5.2,"$145,000,000 ",165515,31
476,Night at the Museum: Battle of the Smithsonian,-2009,105 min,Adventure -  Comedy -  Family,6,"$150,000,000 ",203408,42
477,Addams Family Values,-1993,94 min,Comedy -  Fantasy,6.8,"$47,000,000 ",103110,61
478,Corpse Bride,-2005,77 min,Animation -  Drama -  Family,7.3,"$40,000,000 ",283160,83
479,Mannequin: On the Move,-1991,95 min,Comedy -  Fantasy -  Romance,4.4,"$13,000,000 ",6581,31
480,Splash,-1984,111 min,Comedy -  Fantasy -  Romance,6.3,"$11,000,000 ",79777,71
481,Pacific Rim: Uprising,-2018,111 min,Action -  Adventure -  Fantasy,5.6,"$150,000,000 ",120890,44
482,Aquamarine,-2006,110 min,Comedy -  Family -  Fantasy,5.4,"$12,000,000 ",43471,51
483,Meet Cute,-2022,89 min,Comedy -  Drama -  Fantasy,5.7,,8670,50
484,Brother Bear,-2003,85 min,Animation -  Adventure -  Comedy,6.8,"$128,000,000 ",116035,48
485,Dolittle,-2020,101 min,Adventure -  Comedy -  Family,5.6,"$175,000,000 ",67076,26
486,Alice in Wonderland,-1951,75 min,Animation -  Adventure -  Comedy,7.3,"$3,000,000 ",146707,68
487,Hansel & Gretel: Witch Hunters,-2013,88 min,Action -  Fantasy -  Horror,6.1,"$50,000,000 ",210853,23
488,The Croods,-2013,98 min,Animation -  Action -  Adventure,7.2,"$135,000,000 ",221856,55
489,Blood Red Sky,-2021,121 min,Action -  Adventure -  Drama,6.1,"€15,000,000",51174,43
490,Ghostbusters II,-1989,108 min,Action -  Comedy -  Fantasy,6.6,"$25,000,000 ",213069,56
491,The Croods: A New Age,-2020,95 min,Animation -  Adventure -  Comedy,6.9,"$65,000,000 ",47675,56
492,Underworld: Blood Wars,-2016,91 min,Action -  Adventure -  Fantasy,5.7,"$35,000,000 ",78186,23
493,Red Sonja,-1985,89 min,Action -  Adventure -  Fantasy,5.1,"$17,900,000 ",43199,35
494,Bright,(I) (2017),117 min,Action -  Fantasy -  Thriller,6.3,"$90,000,000 ",194366,29
495,The Lego Movie 2: The Second Part,-2019,107 min,Animation -  Action -  Adventure,6.6,"$99,000,000 ",70559,65
496,End of Days,-1999,122 min,Action -  Fantasy -  Horror,5.8,"$100,000,000 ",113106,33
497,Pleasantville,-1998,124 min,Comedy -  Drama -  Fantasy,7.5,"$60,000,000 ",132097,71
498,How the Grinch Stole Christmas,-2000,104 min,Comedy -  Family -  Fantasy,6.3,"$123,000,000 ",268007,46
499,The Imaginarium of Doctor Parnassus,-2009,123 min,Adventure -  Comedy -  Fantasy,6.8,"$30,000,000 ",151503,65
500,Popeye,-1980,114 min,Adventure -  Comedy -  Family,5.3,"$20,000,000 ",32973,64
500,Popeye,-1980,114 min,Adventure -  Comedy -  Family,5.3,"$20,000,000 ",32973,64
501,Mystery Men,-1999,121 min,Action -  Comedy -  Fantasy,6.1,"$68,000,000 ",68691,65
502,Night Teeth,-2021,107 min,Action -  Crime -  Drama,5.7,"$25,000,000 ",19850,42
503,Chicken Little,-2005,81 min,Animation -  Adventure -  Comedy,5.7,"$150,000,000 ",96220,48
504,Beautiful Creatures,-2013,124 min,Drama -  Fantasy -  Romance,6.1,"$60,000,000 ",89263,52
505,The Map of Tiny Perfect Things,-2021,98 min,Comedy -  Fantasy -  Romance,6.8,,24756,61
506,Imaginary Friends,-2024,,Comedy -  Drama -  Family,,,,
507,The Old Guard 2,,,Action -  Adventure -  Fantasy,,,,
508,To Every You I've Loved Before,-2022,102 min,Animation -  Fantasy -  Romance,6.8,,201,
509,Rise of the Guardians,-2012,97 min,Animation -  Action -  Adventure,7.2,"$145,000,000 ",182733,58
510,Kung Fu Hustle,-2004,99 min,Action -  Comedy -  Fantasy,7.7,"$20,000,000 ",143944,78
511,Fire and Ice,-1983,81 min,Animation -  Adventure -  Fantasy,6.5,"$1,200,000 ",11574,45
512,Let Me In,(I) (2010),116 min,Drama -  Fantasy -  Horror,7.1,"$20,000,000 ",124250,79
513,Stuart Little,-1999,84 min,Adventure -  Comedy -  Family,6,"$133,000,000 ",140978,61
514,Fantastic Four: Rise of the Silver Surfer,-2007,92 min,Action -  Adventure -  Fantasy,5.6,"$130,000,000 ",270628,45
515,Vampire's Kiss,-1988,103 min,Comedy -  Crime -  Fantasy,6.1,"$2,000,000 ",19179,30
516,Percy Jackson: Sea of Monsters,-2013,106 min,Adventure -  Family -  Fantasy,5.7,"$90,000,000 ",121201,39
517,The Scorpion King,-2002,92 min,Action -  Adventure -  Fantasy,5.5,"$60,000,000 ",141636,45
518,Pompeii,(I) (2014),105 min,Action -  Adventure -  Drama,5.5,"$100,000,000 ",113489,39
519,The Munsters,-2022,109 min,Comedy -  Family -  Fantasy,4.5,,10072,57
520,Beowulf,-2007,115 min,Animation -  Action -  Adventure,6.3,"$150,000,000 ",170624,59
521,Apostle,-2018,130 min,Drama -  Fantasy -  Horror,6.3,,55433,62
522,Damsel,-2023,,Action -  Adventure -  Fantasy,,"$70,000,000 ",,
