Number,Title,Year,Runtime,Genre,Rating,Budget,Gross US & Canada,Votes,Metascore
33.,The Batman,(2022),176 min,Action -  Crime -  Drama,7.8,"$200,000,000","369,345,583",696182,72
34.,Fargo,(1996),98 min,Crime -  Thriller,8.1,"$7,000,000","24,611,975",691240,86
35.,John Wick,(2014),101 min,Action -  Crime -  Thriller,7.4,"$20,000,000","43,037,835",688402,68
36.,Now You See Me,(I) (2013),115 min,Crime -  Mystery -  Thriller,7.2,"$75,000,000","117,723,989",676827,50
37.,Heat,(1995),170 min,Action -  Crime -  Drama,8.3,"$60,000,000","67,436,818",672018,76
38.,American Psycho,(2000),102 min,Crime -  Drama -  Horror,7.6,"$7,000,000","15,070,285",652932,64
39.,The Hateful Eight,(2015),168 min,Crime -  Drama -  Mystery,7.8,"$44,000,000","54,117,416",621593,68
40.,Taken,(I) (2008),90 min,Action -  Crime -  Thriller,7.8,"$25,000,000","145,000,989",613620,51
41.,"Lock, Stock and Two Smoking Barrels",(1998),107 min,Action -  Comedy -  Crime,8.1,"£960,000","3,897,569",593920,66
42.,L.A. Confidential,(1997),138 min,Crime -  Drama -  Mystery,8.2,"$35,000,000","64,616,940",592076,91
43.,Ocean's Eleven,(2001),116 min,Crime -  Thriller,7.7,"$85,000,000","183,417,150",589848,74
44.,Kick-Ass,(2010),117 min,Action -  Comedy -  Crime,7.6,"$30,000,000","48,071,303",574268,66
45.,21 Jump Street,(2012),109 min,Action -  Comedy -  Crime,7.2,"$42,000,000","138,447,667",573628,69
46.,Nightcrawler,(2014),117 min,Crime -  Drama -  Thriller,7.8,"$8,500,000","32,381,218",567511,76
47.,Minority Report,(2002),145 min,Action -  Crime -  Mystery,7.6,"$102,000,000","132,072,926",564200,80
48.,Baby Driver,(2017),113 min,Action -  Crime -  Drama,7.6,"$34,000,000","107,825,862",564109,86
49.,Zodiac,(2007),157 min,Crime -  Drama -  Mystery,7.7,"$65,000,000","33,080,084",559846,79
50.,Despicable Me,(2010),95 min,Animation -  Adventure -  Comedy,7.6,"$69,000,000","251,513,985",559681,72
51.,Casino,(1995),178 min,Crime -  Drama,8.2,"$52,000,000","42,438,300",533109,73
52.,"Three Billboards Outside Ebbing, Missouri",(2017),115 min,Comedy -  Crime -  Drama,8.1,"$15,000,000","54,513,740",524516,88
53.,Zootopia,(2016),108 min,Animation -  Adventure -  Comedy,8.0,"$150,000,000","341,268,248",514667,78
54.,Mr. & Mrs. Smith,(2005),120 min,Action -  Comedy -  Crime,6.5,"$110,000,000","186,336,279",510562,55
55.,American Hustle,(2013),138 min,Crime -  Drama,7.2,"$40,000,000","150,117,807",487991,90
56.,Spotlight,(I) (2015),129 min,Biography -  Crime -  Drama,8.1,"$20,000,000","45,055,776",481053,93
57.,Big Hero 6,(2014),102 min,Animation -  Action -  Adventure,7.8,"$165,000,000","222,527,828",475061,74
